#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Dec  5 21:34:28 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mojo_top_0.ncd
#OUTPUT FILE:      mojo_top_0_routed_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,IOBS,IO_L83N_VREF_3,UNUSED,,3,,,,,,,,,
P2,,IOBM,IO_L83P_3,UNUSED,,3,,,,,,,,,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,2.50,,,,
P5,,IOBS,IO_L52N_3,UNUSED,,3,,,,,,,,,
P6,,IOBM,IO_L52P_3,UNUSED,,3,,,,,,,,,
P7,,IOBS,IO_L51N_3,UNUSED,,3,,,,,,,,,
P8,,IOBM,IO_L51P_3,UNUSED,,3,,,,,,,,,
P9,,IOBS,IO_L50N_3,UNUSED,,3,,,,,,,,,
P10,,IOBM,IO_L50P_3,UNUSED,,3,,,,,,,,,
P11,,IOBS,IO_L49N_3,UNUSED,,3,,,,,,,,,
P12,,IOBM,IO_L49P_3,UNUSED,,3,,,,,,,,,
P13,,,GND,,,,,,,,,,,,
P14,,IOBS,IO_L44N_GCLK20_3,UNUSED,,3,,,,,,,,,
P15,,IOBM,IO_L44P_GCLK21_3,UNUSED,,3,,,,,,,,,
P16,,IOBS,IO_L43N_GCLK22_IRDY2_3,UNUSED,,3,,,,,,,,,
P17,,IOBM,IO_L43P_GCLK23_3,UNUSED,,3,,,,,,,,,
P18,,,VCCO_3,,,3,,,,,2.50,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,3.3,,,,
P21,,IOBS,IO_L42N_GCLK24_3,UNUSED,,3,,,,,,,,,
P22,,IOBM,IO_L42P_GCLK25_TRDY2_3,UNUSED,,3,,,,,,,,,
P23,,IOBS,IO_L41N_GCLK26_3,UNUSED,,3,,,,,,,,,
P24,io_seg[7],IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,io_seg[6],IOB,IO_L37N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P27,io_seg[5],IOB,IO_L37P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,io_seg[4],IOB,IO_L36N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P30,io_seg[3],IOB,IO_L36P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P31,,,VCCO_3,,,3,,,,,2.50,,,,
P32,io_seg[2],IOB,IO_L2N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P33,io_seg[1],IOB,IO_L2P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P34,,IOBS,IO_L1N_VREF_3,UNUSED,,3,,,,,,,,,
P35,io_seg[0],IOB,IO_L1P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
P36,,,VCCAUX,,,,,,,,3.3,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,rst_n,IOB,IO_L65N_CSO_B_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P39,avr_rx_busy,IOB,IO_L65P_INIT_B_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P40,,IOBS,IO_L64N_D9_2,UNUSED,,2,,,,,,,,,
P41,button_r,IOB,IO_L64P_D8_2,INPUT,LVTTL,2,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,spi_sck,IOB,IO_L62N_D6_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P44,spi_mosi,IOB,IO_L62P_D5_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P45,,IOBS,IO_L49N_D4_2,UNUSED,,2,,,,,,,,,
P46,,IOBM,IO_L49P_D3_2,UNUSED,,2,,,,,,,,,
P47,,IOBS,IO_L48N_RDWR_B_VREF_2,UNUSED,,2,,,,,,,,,
